symbol,date,open,high,low,close,volume,delivery_qty,delivery_percentage
SYM000,2023-01-02,100.99,101.94,99.02,99.02,609346,346825,56.91760604750928
SYM000,2023-01-03,99.01,99.85,98.14,98.43,1233337,690551,55.99046046341824
SYM000,2023-01-04,98.66,99.51,98.3,99.51,712335,485646,68.17675451960909
SYM000,2023-01-05,99.42,100.09,98.2,99.37,953641,463231,48.57508266755339
SYM000,2023-01-06,99.63,100.0,99.22,99.22,1129246,983852,87.12471401305692
SYM000,2023-01-09,98.97,99.77,98.36,98.36,1338691,713398,53.290788135176875
SYM000,2023-01-10,97.95,98.59,97.22,97.22,1162946,523527,45.01735439066958
SYM000,2023-01-11,97.28,97.49,96.43,97.49,1067078,695560,65.18370344607843
SYM000,2023-01-12,97.63,98.25,96.21,97.82,904098,433464,47.944410185608064
SYM000,2023-01-13,97.68,99.14,96.83,96.83,1290483,384008,29.75695342576293
SYM000,2023-01-16,96.91,97.48,96.22,96.31,1238004,616143,49.769123916273436
SYM000,2023-01-17,96.73,96.91,95.49,95.88,660013,271979,41.20821570997583
SYM000,2023-01-18,95.95,96.61,95.54,96.61,1047561,674460,64.38385590951005
SYM000,2023-01-19,96.83,97.47,96.48,96.48,885478,328179,37.0624053161644
SYM000,2023-01-20,96.25,96.27,95.79,96.27,1133959,736855,64.98077663459179
SYM000,2023-01-23,96.06,96.14,94.44,95.92,565866,198955,35.15950581468397
SYM000,2023-01-24,96.11,96.98,95.75,95.75,1389768,690103,49.65604043407861
SYM000,2023-01-25,95.3,95.5,94.4,95.5,898290,607285,67.60462206186094
SYM000,2023-01-26,95.71,95.93,95.14,95.14,566182,317525,56.081942615708044
SYM000,2023-01-27,95.25,95.27,93.72,94.29,928193,368005,39.647537610672025
SYM000,2023-01-30,94.39,95.67,93.6,94.78,1107061,851878,76.94954336829343
SYM000,2023-01-31,94.47,95.35,94.1,94.1,586994,378771,64.52726420221606
SYM000,2023-02-01,93.41,94.36,93.12,93.12,1251437,1063107,84.9509633753768
SYM000,2023-02-02,93.31,94.24,91.32,94.24,1080313,462437,42.80588357034511
SYM000,2023-02-03,93.95,94.08,92.95,93.21,1047114,550996,52.62047744441968
SYM000,2023-02-06,92.43,92.88,92.38,92.38,1530378,871613,56.95411782209329
SYM000,2023-02-07,92.15,93.24,91.26,93.24,782432,680145,86.92704598652747
SYM000,2023-02-08,93.64,94.48,92.76,92.76,1115485,587307,52.65043153512865
SYM000,2023-02-09,92.46,92.87,92.04,92.43,632318,226565,35.83093638520571
SYM000,2023-02-10,93.16,93.31,93.05,93.31,1085747,809858,74.59002612560238
SYM000,2023-02-13,93.12,94.15,92.72,93.57,1460726,843547,57.74851655832859
SYM000,2023-02-14,92.93,94.47,91.33,91.33,946144,465996,49.252190182960184
SYM000,2023-02-15,90.83,91.64,90.24,91.64,881618,484212,54.92317199919893
SYM000,2023-02-16,91.79,93.08,91.71,91.71,1193181,289315,24.247418484534663
SYM000,2023-02-17,91.32,92.44,90.52,91.28,899762,618483,68.73853813534019
SYM000,2023-02-20,91.29,91.74,90.99,90.99,1300827,820454,63.07173155505889
SYM000,2023-02-21,90.92,91.56,90.72,91.56,1072749,618424,57.64860037680567
SYM000,2023-02-22,91.6,91.81,89.29,89.66,1563053,659629,42.2013497416177
SYM000,2023-02-23,89.0,89.53,88.72,88.72,1361756,600040,44.063742433845874
SYM000,2023-02-24,87.77,87.91,86.84,86.84,841168,352004,41.847088327486176
SYM000,2023-02-27,86.07,87.34,84.24,85.95,613773,236598,38.548216323180405
SYM000,2023-02-28,87.2,88.22,86.88,88.22,1102466,892230,80.93046466608388
